#{"t_start": 1641254757.567522, "env_id": null}
r,l,t
0.752563,226,19.996979
2.532826,647,52.149439
4.759,1001,99.338255
1.572793,269,116.432142
0.332574,151,124.131763
0.699523,195,133.012562
1.260363,342,153.40333
3.377405,642,185.374514
2.657958,1001,237.290155
1.489157,197,249.381277
0.737694,138,256.714494
5.058743,1001,307.867998
3.321027,613,340.270611
2.414227,463,360.629813
1.043033,216,372.374645
4.203773,503,399.253342
1.075626,253,412.582319
1.790374,272,426.479038
4.744348,1001,474.88497
0.557718,229,486.966518
3.502684,448,507.639263
0.023795,19,509.089086
4.636542,975,554.451943
2.391354,341,569.865691
0.026412,20,571.337478
6.551187,1001,623.918923
3.890265,575,651.431605
5.154206,817,693.002178
3.182589,426,713.467974
2.018541,247,725.743978
6.863801,889,772.34157
2.565695,469,794.871981
4.732509,477,819.245517
6.15533,786,857.288796
7.977356,1001,905.19559
2.137667,232,916.891848
1.521654,156,924.480065
6.19311,1001,973.729777
10.006812,901,1016.057638
2.826205,304,1030.458403
4.868343,747,1066.026018
2.814849,393,1086.145787
9.0791,822,1123.93424
0.027298,21,1125.368559
6.956444,943,1177.802763
4.587206,828,1219.332725
6.774092,900,1259.557482
6.522173,888,1301.323908
2.606173,377,1322.746428
4.710765,486,1349.645479
4.605937,1001,1399.199982
1.29719,110,1404.87703
2.684152,215,1415.299043
12.018668,921,1458.492165
8.775348,807,1497.567167
3.545122,325,1515.387985
3.007462,206,1526.115026
5.963317,1001,1572.64314
2.472347,196,1581.98295
9.878786,708,1616.247769
8.476451,622,1649.666436
2.511615,214,1659.277272
2.731023,216,1670.970216
5.339103,380,1689.156188
4.380681,399,1709.124418
7.198792,1001,1756.662441
4.270691,611,1787.76874
14.297236,1001,1848.066502
3.55632,1001,1908.857621
1.270307,99,1915.564451
4.105395,252,1931.257044
4.905648,267,1944.866678
7.144017,679,1985.398232
5.802521,768,2026.532635
3.588679,279,2045.662388
4.010334,209,2058.447402
8.459353,503,2084.128865
12.791667,788,2122.05574
14.244878,861,2162.067457
9.788702,829,2199.720102
3.721653,214,2209.405763
4.514919,718,2243.66284
2.561021,179,2252.268593
18.422542,1001,2297.984513
0.095297,1,2298.506139
3.12628,214,2307.893995
7.208545,376,2324.223722
9.176463,534,2349.633281
1.430856,99,2355.013217
8.444293,1001,2399.370541
4.047469,200,2408.849577
17.178281,741,2442.824015
3.074055,160,2450.733027
10.281984,438,2480.711325
18.776242,819,2522.72383
3.279121,164,2532.918474
5.412557,336,2550.816818
4.573236,275,2566.831305
3.623413,475,2593.635915
5.967168,302,2610.95372
6.264777,498,2639.60387
6.703187,1001,2691.51454
6.032459,790,2724.592578
7.04657,280,2737.219136
2.936816,185,2746.99054
11.111897,423,2764.667948
3.546364,262,2776.272747
3.55147,178,2784.482871
13.172598,591,2810.555886
3.600689,173,2818.520495
2.566286,144,2824.962826
1.260375,101,2829.791768
9.842701,424,2848.595868
8.968352,337,2864.48157
0.624148,78,2867.89468
11.007159,563,2894.289921
8.551581,376,2912.242039
8.376857,413,2931.448564
9.230061,817,2968.36112
7.731707,303,2983.202333
1.796869,136,2990.171014
5.981299,240,3000.711791
13.473597,586,3028.50769
3.670863,286,3041.218205
2.478126,215,3051.643555
2.218424,138,3057.637951
3.293203,160,3066.179895
5.517406,761,3104.259413
3.037949,449,3127.096092
6.066364,246,3138.418222
10.312735,366,3155.322772
6.357305,266,3167.791493
11.326181,425,3187.697982
5.413842,205,3196.947519
19.918858,705,3229.806316
5.854838,284,3241.774468
3.706342,157,3249.000362
4.534561,193,3258.022707
9.438724,360,3276.412598
1.907257,108,3282.656508
3.440274,153,3290.046745
3.875138,149,3298.13411
7.25486,429,3317.499994
4.886725,359,3335.60281
1.713655,94,3340.639397
2.416822,143,3347.08546
4.463386,259,3360.057442
9.064047,412,3379.632561
7.230424,633,3408.112563
13.435008,1001,3455.830918
2.923098,151,3462.747707
3.676676,156,3471.36789
2.321725,114,3476.888752
4.189266,609,3504.538118
2.593188,159,3511.723212
5.664813,253,3525.636765
5.022858,938,3569.404541
15.708035,558,3594.856448
1.258009,102,3600.350154
3.342131,470,3624.919933
3.014695,177,3633.673269
8.405261,304,3647.432481
15.009416,452,3670.84838
4.245254,184,3679.617753
10.663071,414,3700.249474
7.934668,268,3712.596495
15.672433,1001,3759.43541
10.335354,361,3778.729898
2.585577,219,3789.72589
2.566688,110,3795.225512
4.368809,443,3818.746341
4.975539,188,3827.572361
3.013661,131,3834.110734
6.177816,217,3844.631212
4.498668,179,3853.110861
3.035468,136,3859.515995
4.230283,186,3869.420306
5.356406,201,3878.579199
4.0936,224,3889.636009
5.162137,205,3898.423068
3.46953,264,3911.505093
2.974281,123,3919.675706
10.882047,498,3942.241523
2.594618,133,3948.150843
4.632854,236,3959.719258
9.870835,567,3987.589392
2.967852,357,4005.100312
8.301087,491,4030.575119
3.796863,153,4039.127056
4.848114,189,4048.321807
1.723839,94,4053.720828
2.759865,129,4059.532421
3.557013,173,4069.995008
6.133882,287,4083.457108
9.906301,379,4101.296462
2.581559,143,4108.223134
9.417758,400,4127.96866
3.341092,165,4136.782251
3.19024,123,4143.163291
14.078768,425,4162.916359
12.694814,535,4188.555739
1.156363,124,4195.542779
8.03074,502,4220.519315
3.011562,138,4227.559119
5.665171,209,4237.996993
6.370356,239,4249.064163
3.616094,180,4257.86785
4.764006,193,4266.523379
6.330531,478,4290.461727
3.318235,153,4298.463259
18.167354,1001,4346.512326
7.004458,219,4357.825546
5.059605,172,4366.614146
3.081277,135,4373.994956
4.60029,234,4384.254117
1.791111,240,4394.651616
3.451907,140,4401.475145
17.222973,579,4429.718676
12.251033,342,4447.103922
9.833532,418,4466.102418
3.506356,196,4477.353431
10.594896,415,4497.242365
1.354728,102,4502.496988
5.988884,1001,4552.611874
1.967142,98,4557.944418
6.070318,252,4570.326264
1.196986,89,4577.410516
15.406969,609,4606.171246
3.882312,242,4618.314893
5.114015,1001,4669.776101
4.304936,169,4679.245484
5.62078,190,4689.528776
6.963534,1001,4738.173442
4.628114,160,4746.343949
6.485851,242,4757.342064
10.200001,293,4771.087736
3.399745,164,4780.520952
2.723922,121,4786.025376
5.255699,176,4794.981843
4.18227,261,4807.657182
3.866355,144,4814.279101
2.237242,98,4819.925709
3.314006,125,4826.730142
2.709837,326,4843.427447
25.006143,935,4889.954985
4.269412,173,4898.27482
5.39559,238,4910.406029
0.810131,79,4914.071955
9.043157,678,4948.866351
6.449571,197,4958.974324
2.078121,106,4965.531641
11.745601,376,4984.298358
3.224044,119,4991.397779
3.700498,141,4997.708634
5.682342,550,5023.565934
3.101218,114,5029.475747
2.555986,158,5038.610061
7.087172,213,5049.567409
3.396295,139,5056.499474
4.150006,221,5067.188552
4.584391,154,5075.083148
4.419628,449,5101.078579
4.760542,170,5109.305008
7.577777,1001,5157.600741
5.483649,446,5179.329432
3.768403,138,5185.869994
17.04249,486,5211.320659
8.575639,251,5223.655005
3.106233,129,5231.480149
4.815062,156,5239.389087
8.700492,268,5255.265174
7.300046,236,5267.939423
4.014822,137,5275.238793
5.689534,227,5286.429054
8.696182,238,5298.716928
2.189036,106,5306.572102
5.643853,171,5315.588007
0.798857,69,5319.553944
4.06789,152,5328.154992
12.611971,465,5350.752115
9.340037,262,5365.630789
8.043498,224,5377.05932
6.292064,189,5386.745357
14.71331,481,5410.968689
3.014905,114,5418.000865
10.262603,840,5459.120953
3.760397,141,5467.713777
3.437315,127,5475.06297
3.104188,126,5481.226489
6.525033,277,5495.422667
2.801242,104,5500.658937
8.344063,231,5511.868204
3.104675,123,5519.59911
3.639883,131,5526.524535
1.933397,99,5531.694887
6.873288,260,5545.203707
6.663333,235,5556.9964
8.150397,238,5571.525786
2.77179,132,5577.559026
4.416014,137,5585.340927
4.708805,202,5596.092033
9.521823,1001,5647.280236
4.492076,499,5670.653721
5.146282,165,5680.263481
5.228689,194,5689.96997
4.056186,133,5696.298923
8.431138,980,5743.200483
13.254419,325,5758.820422
4.726608,150,5766.155741
2.146923,90,5771.303979
6.188388,179,5781.108768
2.84383,103,5786.207878
6.931129,181,5795.398047
1.253924,66,5799.55217
10.862727,289,5813.387827
28.601726,853,5855.006189
3.620337,129,5861.65093
3.858052,146,5868.633544
4.447096,150,5876.575151
3.434813,127,5884.126232
4.947336,162,5892.45934
2.938169,118,5898.959792
10.994135,276,5913.46998
7.100818,792,5952.126174
6.26909,183,5961.030483
1.073389,72,5964.495758
3.865754,131,5970.426279
2.553298,146,5976.729166
3.546695,131,5985.757464
2.996885,122,5992.480441
9.565986,271,6005.902175
1.871417,97,6010.802931
6.28782,206,6022.400544
3.52945,130,6030.398879
1.949787,100,6036.073447
4.404078,142,6044.505346
4.782122,152,6052.169577
9.407226,239,6064.542695
8.295616,234,6075.595139
11.107784,337,6093.653607
1.982764,98,6099.029737
2.22018,103,6104.730644
3.62788,142,6111.423307
4.074993,169,6120.60671
3.282429,175,6129.678748
5.092705,154,6138.323981
5.875695,208,6149.251812
3.189514,235,6161.241559
4.259547,139,6168.623727
3.651911,127,6174.617588
3.670879,141,6181.995069
4.155474,215,6192.233065
6.960427,198,6204.655605
3.657089,128,6211.195205
11.044795,319,6228.172638
5.177393,190,6237.395084
4.843259,148,6245.126384
7.916238,469,6268.422938
2.596025,123,6274.877781
5.330572,163,6283.660648
2.475597,104,6289.008209
7.016807,195,6299.402397
12.333681,332,6317.797518
3.167767,116,6324.414716
8.42025,219,6334.587081
7.644219,231,6346.890217
17.439685,415,6368.600571
10.985922,330,6385.700462
3.524461,184,6394.608017
7.825363,206,6405.498619
3.330826,114,6412.214006
4.15967,172,6420.14337
4.547974,174,6429.982632
5.207009,813,6472.604618
10.582562,268,6486.35851
7.30007,215,6497.536607
5.26697,167,6506.954373
3.218382,257,6520.777097
5.287528,167,6529.486941
5.08814,189,6538.671638
12.001355,327,6553.664866
4.565635,146,6561.458318
5.263773,148,6567.793985
2.769722,103,6574.160707
2.246833,101,6578.980666
4.811826,141,6586.205595
2.375438,106,6590.881214
6.414564,175,6598.772877
6.793128,309,6614.429217
4.482601,151,6622.773088
10.372602,249,6635.619197
9.682049,252,6647.969754
7.451552,244,6660.397714
21.480072,554,6689.155894
7.092014,196,6699.200644
10.374021,297,6714.392997
2.655917,117,6719.621951
2.603662,109,6725.877838
5.700138,180,6734.86887
4.635401,169,6743.422501
16.903529,405,6762.424168
3.881705,119,6768.897218
4.57243,148,6777.051307
9.365493,275,6790.635331
5.920518,1001,6839.599786
2.237907,353,6855.256432
6.100953,199,6864.417901
3.401512,114,6869.729292
6.567713,209,6880.271597
5.234322,750,6916.347516
1.816103,95,6922.077519
4.542146,134,6930.063786
6.480045,185,6939.710425
10.057411,268,6952.923972
-0.967054,1,6953.51344
10.169542,264,6965.628321
8.50561,738,7006.776906
5.690497,184,7016.535547
9.930857,256,7030.013553
4.908862,148,7039.034473
4.085254,129,7045.386714
5.138314,159,7053.401177
13.179047,302,7066.912294
6.600615,1001,7116.283826
18.58381,677,7150.202404
5.348774,185,7160.572847
19.307187,1001,7209.89619
1.339888,80,7214.193217
2.874081,144,7221.62568
1.959235,93,7226.307153
6.838801,209,7236.299221
8.823569,253,7249.445498
0.898925,81,7253.121298
18.803196,494,7276.461264
2.017844,106,7281.281093
3.225805,137,7290.537584
7.497115,1001,7339.882707
0.101673,1,7340.508343
4.29568,149,7348.357914
2.269208,139,7355.352138
4.037949,144,7362.237127
3.665038,123,7368.647084
11.95523,288,7381.959887
22.449768,511,7407.603479
3.166376,108,7413.042147
12.369945,297,7428.872596
1.433483,76,7433.638674
6.2113,1001,7486.431375
9.388394,327,7503.260051
6.896101,179,7512.005995
4.453849,155,7519.681242
2.480756,107,7525.94175
3.48796,129,7533.047814
2.987813,117,7538.740206
3.27443,124,7544.725718
4.781875,157,7554.33173
19.952027,516,7577.889336
1.291643,83,7582.909829
7.216747,210,7592.251255
8.229363,233,7605.760407
10.681123,254,7617.851097
7.079182,256,7630.742266
11.185245,482,7653.381009
5.607727,288,7667.965912
4.953877,142,7674.528053
5.961699,178,7684.127179
11.301451,1001,7730.750248
3.704099,125,7736.131314
5.611281,159,7742.870621
24.768416,670,7775.91083
2.299811,104,7781.846807
5.95007,1001,7827.720522
3.410219,116,7833.70522
8.41027,233,7844.947703
14.635656,362,7862.538184
4.849176,163,7869.633755
1.557035,165,7877.894816
7.790153,217,7889.490858
7.141956,190,7898.023028
3.451703,117,7905.168942
6.128025,183,7913.870187
8.555851,1001,7963.595071
12.034008,402,7982.582193
15.618782,354,8000.326235
11.636443,275,8012.725436
12.296774,295,8027.291735
4.181984,131,8034.095763
7.851818,1001,8081.979678
4.556715,155,8089.939507
8.82876,301,8104.690491
8.593893,231,8114.83616
11.185168,393,8133.267815
3.764754,115,8140.184016
2.133366,145,8147.343912
3.435315,129,8155.395395
6.491696,173,8163.044068
3.37576,120,8168.855613
1.790746,91,8173.327137
2.445612,106,8178.609419
9.666919,235,8188.729915
3.288543,116,8194.442389
4.663112,214,8206.93796
13.909388,460,8227.988754
5.944845,196,8236.914769
7.518481,965,8283.558469
4.18433,141,8290.454445
4.054069,338,8307.393717
7.57504,204,8317.764754
12.664892,311,8333.560189
2.616621,174,8342.347244
18.960229,422,8364.865338
3.815429,141,8373.264478
7.167345,193,8383.397722
3.87335,138,8390.504874
3.872944,572,8420.221906
6.639704,168,8428.640001
23.017994,836,8470.471929
8.639346,220,8481.621723
7.094205,210,8492.70696
12.000289,371,8513.155946
2.193136,99,8517.506813
7.07567,208,8526.206931
5.063331,271,8539.861229
3.03479,146,8546.701271
8.438588,227,8557.650644
4.157228,187,8567.702003
6.118529,219,8577.446295
5.855344,172,8584.820905
10.731836,283,8597.793273
4.149846,136,8604.504632
11.90851,280,8619.543007
10.454477,259,8632.154858
2.268252,89,8636.654471
7.105447,190,8647.130226
5.163191,162,8654.52317
8.966707,229,8667.681519
5.49957,170,8675.640094
8.276264,312,8692.256896
4.428656,138,8700.514043
13.377809,294,8716.664874
15.18763,345,8733.759586
8.235815,210,8744.928482
7.934237,227,8757.569624
7.348449,193,8767.083442
2.173131,92,8773.52085
6.588728,220,8784.157448
6.761907,355,8803.047454
6.399303,179,8813.342891
10.510844,325,8830.722072
4.226076,144,8837.86537
5.000006,162,8846.112369
10.009012,449,8867.217581
6.815141,1001,8913.621477
12.347481,285,8928.321791
7.425094,192,8937.542929
8.902405,224,8949.778539
4.273467,137,8956.614169
6.66471,179,8965.320991
7.279769,215,8977.171751
9.845685,1001,9024.001123
16.172737,367,9042.916271
2.931694,118,9048.506263
19.479703,505,9072.556054
5.441862,1001,9122.112949
10.147613,340,9139.539936
8.498697,254,9151.696615
1.869636,101,9156.190138
13.121755,298,9171.449418
6.252534,179,9181.696992
13.864895,1001,9229.153017
3.376348,228,9240.145952
6.282646,1001,9287.794743
9.421943,256,9300.803756
5.658273,166,9309.179095
19.356646,416,9329.839254
8.926054,455,9352.802628
2.339146,104,9358.062709
2.590555,101,9363.842252
8.867817,211,9374.319178
4.166337,122,9381.87914
3.23422,119,9388.00438
2.380748,105,9393.723473
4.9091,196,9405.072498
5.521249,166,9413.589841
3.339144,117,9419.384249
3.812326,138,9425.946973
3.333923,286,9441.67338
2.855035,148,9449.703153
6.594332,194,9459.139674
7.296257,256,9471.678079
5.1635,311,9487.81504
11.267225,811,9526.433555
0.09452,1,9527.061514
21.470969,600,9556.745815
4.557315,384,9575.07129
3.736137,129,9582.666549
7.503084,304,9598.307214
9.306254,1001,9648.094142
6.172222,173,9656.505135
16.033215,1001,9704.131663
3.863421,157,9711.862443
8.269829,228,9723.064078
4.306852,135,9729.520981
2.422572,92,9733.968323
5.69505,157,9742.987009
1.862903,92,9747.757975
3.884562,141,9755.419855
11.022409,261,9767.668407
20.191663,522,9794.224942
12.086289,312,9809.176151
2.982118,127,9815.626458
11.030983,249,9827.609121
6.962848,183,9838.324305
3.099266,128,9845.514592
5.521721,220,9855.347191
9.779423,240,9867.753386
2.17753,91,9872.359995
3.689325,120,9877.573936
11.111148,263,9891.521106
9.484282,267,9906.925457
6.373241,167,9915.561503
