#{"t_start": 1641254758.2287173, "env_id": null}
r,l,t
0.02582,20,8.60475
0.207178,61,12.385911
3.881041,1001,62.363113
4.218426,820,100.508714
0.445865,178,111.833978
0.022638,21,113.380637
0.297808,96,118.49677
0.010277,19,119.790846
2.079615,343,137.072382
0.075265,22,139.108309
4.379083,919,186.7922
1.140354,198,196.029127
0.709305,171,203.561222
0.326971,109,208.751233
0.028402,19,210.348647
1.030134,206,223.947047
1.628082,289,237.946503
0.96,168,246.97015
2.829234,411,270.724233
0.50593,140,279.101519
1.87593,277,291.778803
3.500532,606,320.225532
0.019302,20,321.577571
0.021495,20,322.886897
1.870457,262,337.444264
4.520055,628,367.725401
4.372081,712,405.078408
7.022618,1001,455.252576
0.713319,94,460.210153
-4.871601,1,460.762052
6.915668,1001,509.299996
4.149176,1001,556.129885
2.668175,391,574.987573
3.731027,570,605.933315
4.773128,1001,654.21548
7.944803,982,703.026237
6.244871,1001,754.31041
5.159802,1001,803.442301
2.633118,552,830.159044
0.524593,75,835.464101
4.18948,605,864.961751
6.572483,1001,912.349452
2.894788,349,930.642654
4.240655,762,967.947504
4.977296,667,999.321182
1.808863,173,1007.196628
5.739103,1001,1055.447015
5.977773,932,1099.755792
2.291637,228,1110.152438
5.632418,913,1158.639952
5.525582,618,1193.435618
4.607365,1001,1239.582095
10.764853,823,1275.671714
4.533817,1001,1328.961628
1.642891,154,1338.712677
2.968106,433,1360.122372
2.561417,304,1373.605265
2.753725,352,1392.203928
8.168828,792,1430.253925
6.317599,450,1451.460744
7.616589,664,1482.771905
4.864459,574,1513.1534
1.177719,102,1519.033104
5.561528,942,1563.169333
13.344368,1001,1610.361524
3.429596,542,1639.84215
3.689982,390,1659.435933
4.587827,396,1679.075664
4.718794,358,1698.266274
15.090739,1001,1743.265236
6.591731,440,1766.252498
5.268804,472,1794.576851
11.6152,1001,1851.624594
11.010929,703,1894.231892
1.291873,93,1899.761117
5.959741,955,1955.910476
7.233549,1001,2013.022816
8.689189,1001,2069.85796
1.861434,127,2077.975556
4.593972,424,2099.303092
3.057444,532,2124.203114
3.785111,235,2134.868576
5.086191,313,2150.347275
1.834213,198,2158.571172
8.149247,500,2180.491968
8.590659,497,2203.928303
2.402526,148,2211.012012
6.689366,406,2230.171538
6.030696,355,2247.348325
1.710059,200,2256.439088
3.300841,170,2264.221223
4.79189,596,2291.665741
7.338773,474,2312.973364
1.843732,278,2325.36817
11.906988,550,2351.376741
3.234307,210,2360.950688
9.684441,522,2384.805996
4.895384,355,2400.646368
2.056958,137,2406.594857
10.076383,1001,2453.325052
4.854416,290,2473.16116
9.127668,415,2496.620786
3.6559,201,2506.999567
2.487937,217,2518.69779
11.782783,617,2553.516515
2.019533,127,2561.091475
19.764941,1001,2618.046662
6.911797,361,2638.160471
18.449819,872,2683.895259
4.251065,192,2693.968633
14.119741,581,2717.781774
2.204075,155,2724.565841
4.759795,268,2735.765103
6.297018,939,2778.429795
2.307164,306,2793.207399
5.630852,569,2817.16032
3.641659,156,2825.028392
10.847468,471,2845.191347
3.596212,171,2853.086226
-0.205081,15,2854.237522
4.63691,294,2868.362151
2.831968,295,2880.912179
3.368368,149,2889.328388
3.417353,161,2896.896454
2.711798,147,2903.38476
8.546446,357,2919.832698
11.171253,632,2948.646508
2.8782,166,2955.910504
4.793284,202,2965.494088
9.232608,723,3000.583387
4.328002,202,3009.675658
5.185633,218,3019.049005
1.823776,122,3025.609142
1.078804,140,3032.148612
2.613904,363,3048.320911
2.646105,206,3059.105568
5.808369,274,3073.053877
5.692058,230,3084.833144
15.991168,891,3129.019946
7.541936,396,3146.826543
3.160309,163,3154.116436
3.104881,168,3162.293505
13.358459,522,3186.481699
13.212045,505,3209.202148
1.935086,105,3214.387039
18.648825,794,3250.901291
5.992436,261,3263.18318
13.910491,440,3286.334455
2.597253,155,3294.693818
8.926169,291,3308.404891
4.723156,211,3318.082699
6.890778,354,3336.380558
9.029358,373,3353.588752
9.48541,442,3375.276161
15.305685,475,3396.647296
17.042493,508,3421.899352
2.153046,111,3426.641546
8.519886,323,3441.015598
1.09448,77,3445.096485
5.367733,1001,3491.74155
3.115742,247,3503.271822
3.989326,186,3513.003985
2.533986,128,3520.034396
1.830835,172,3528.709409
4.240463,218,3538.124876
5.642947,282,3550.369406
12.324861,584,3578.874886
1.647409,121,3584.161084
2.349441,224,3594.860832
2.382055,147,3602.112026
3.24929,143,3608.764848
2.727088,124,3616.608609
13.487433,451,3638.428464
8.178574,313,3654.091429
8.281621,415,3674.68183
1.945949,141,3682.498659
6.860636,280,3694.803064
4.56903,303,3709.393305
9.330959,301,3724.246186
5.601998,200,3732.863343
1.861132,91,3738.155232
3.192956,153,3744.871044
11.91993,386,3764.881508
2.860964,116,3770.008001
7.028059,260,3782.996435
3.794415,149,3790.625801
8.558186,320,3806.696629
9.982019,409,3828.178158
9.059061,1001,3875.958792
9.510014,470,3898.516738
5.712811,227,3909.126587
5.053919,197,3921.234528
3.936966,259,3933.116932
8.64544,423,3951.812855
3.370419,165,3960.472967
4.295714,195,3971.481135
8.614362,360,3987.829332
2.375195,125,3994.185312
1.432665,188,4002.573196
1.807168,100,4007.512441
1.992887,112,4013.183851
8.419641,300,4028.868001
3.338969,126,4035.127942
0.101305,1,4035.873392
9.543831,558,4064.665378
9.791757,422,4086.997368
3.610253,161,4094.049725
4.795791,188,4102.76746
2.555447,143,4109.677272
8.773189,413,4130.498902
6.45935,233,4141.853749
2.020122,135,4148.901814
4.640053,166,4156.276292
9.889711,355,4173.979624
4.994917,564,4201.821191
2.058895,122,4207.208918
5.395117,1001,4256.236096
2.154878,106,4261.443672
2.562005,135,4267.811961
5.185867,220,4279.31011
2.113037,125,4284.884114
5.221606,462,4307.393146
2.054602,120,4312.740923
7.221129,319,4329.824249
11.472304,366,4347.823937
6.173475,228,4359.16367
6.413798,495,4382.28034
5.958718,823,4420.326712
1.759291,87,4425.208613
7.694971,1001,4474.401462
6.926865,217,4485.334839
1.82445,92,4489.621732
2.556655,120,4495.612272
1.437578,133,4503.529751
8.797046,466,4526.398552
2.138428,110,4532.709845
5.53404,183,4540.549089
9.009433,467,4564.936614
5.570058,222,4578.441307
6.004559,199,4588.311014
8.461505,353,4603.814756
2.422915,108,4610.093417
4.72006,222,4621.039228
2.286183,298,4636.826923
4.754068,183,4645.5356
3.492806,127,4651.375622
1.937021,112,4657.07043
3.483283,167,4665.319253
3.811156,270,4681.014021
2.73115,149,4689.589466
4.182284,147,4696.955142
6.734011,214,4706.054564
1.987014,109,4711.160775
10.510949,394,4730.994203
4.037891,142,4738.398494
2.080663,140,4744.803172
3.144765,134,4750.969594
0.228831,34,4752.900239
3.443843,149,4759.842115
8.897102,262,4772.321567
13.043831,425,4793.72641
4.698826,149,4801.311954
5.055249,169,4809.696119
1.198125,111,4815.8683
3.626153,131,4822.404287
2.297969,90,4827.353352
5.134531,246,4839.121281
1.438438,84,4844.194711
3.005632,133,4850.330432
3.843264,131,4856.881858
4.408096,228,4867.791438
1.147184,110,4873.284328
4.3951,165,4881.811045
2.687324,141,4888.660311
3.895306,217,4899.810092
5.125515,165,4907.9712
4.001877,140,4915.065807
3.807246,466,4939.326205
7.690244,337,4956.049169
2.753118,112,4962.216386
4.891279,167,4971.46986
1.335457,152,4978.287446
14.592808,527,5005.317158
1.489339,174,5013.428135
3.64135,478,5038.623006
4.795603,167,5046.027169
7.650626,268,5059.720951
6.36444,204,5070.373051
7.392763,217,5081.256965
2.842747,117,5088.571138
3.195659,333,5106.603355
4.219917,146,5113.531972
14.161903,413,5132.595602
2.486415,490,5157.8994
7.998147,234,5168.806387
5.24488,158,5176.19318
3.88826,164,5184.016832
6.906766,258,5199.019098
12.874665,361,5216.42399
5.192149,189,5225.872354
5.645979,244,5239.786155
3.006286,112,5246.676725
4.009356,143,5255.158982
6.268921,283,5270.407604
12.10683,363,5288.162416
3.248218,124,5294.737494
2.949137,139,5303.448484
6.564617,176,5313.17335
5.731444,191,5323.884873
6.369844,192,5333.48997
4.666545,429,5356.480751
12.964261,381,5375.545193
1.928132,131,5382.440215
4.478531,162,5391.146213
11.385542,309,5404.746623
2.735324,115,5412.512626
5.558473,167,5422.054722
4.890052,173,5430.089646
14.964099,376,5448.210363
6.109123,457,5473.389656
2.874716,211,5485.146029
6.824505,215,5495.780301
8.487495,234,5506.465155
1.086157,95,5511.990099
14.21003,398,5533.635166
2.82556,128,5540.421224
7.992819,237,5552.606749
2.623782,133,5559.579496
2.894255,130,5565.881404
5.068471,193,5577.728932
3.13224,120,5583.740423
3.000462,120,5590.80184
3.158457,137,5598.938709
4.617869,160,5607.068828
4.852638,147,5614.121103
2.20226,113,5619.166031
3.004934,114,5626.491208
2.893575,116,5631.517519
2.277526,94,5636.224522
13.321669,342,5653.031774
7.19727,211,5662.818761
5.15636,178,5671.289686
9.167511,264,5685.820281
5.561347,1001,5732.406921
4.607735,158,5740.871163
6.677758,242,5752.802417
