#{"t_start": 1641254759.0445585, "env_id": null}
r,l,t
1.993986,571,36.343397
0.454895,167,44.367025
3.911613,1001,90.470118
0.042699,20,91.955029
0.001509,19,93.250615
1.37203,286,109.66784
4.188413,815,154.991205
2.670999,446,177.160467
0.925677,158,184.808125
0.090556,20,186.6317
3.782483,800,227.887888
2.009436,339,244.615227
0.00803,20,246.815401
1.586915,286,263.093968
0.034381,20,264.454437
1.087371,188,275.517104
3.177645,652,305.817978
4.192662,745,344.981011
4.056227,1001,395.074774
2.177912,461,419.602933
3.318877,554,446.980443
5.387707,1001,494.769346
5.328404,1001,542.621142
3.307527,740,580.41682
3.919554,583,610.059363
7.642641,1001,658.732297
0.093436,22,660.393679
2.780327,465,683.702005
6.836462,825,722.807085
5.111395,678,758.820737
1.309948,174,767.463498
8.568616,1001,817.099061
3.794662,475,840.473186
3.660304,437,861.923687
4.627623,762,898.289445
6.578408,732,936.33749
4.22531,405,955.794165
4.282457,411,974.463247
9.102749,1001,1021.387068
2.093848,245,1034.704854
9.044324,836,1072.424345
2.43279,207,1083.568128
4.743579,1001,1133.05763
4.40958,485,1159.859843
6.157592,472,1184.746701
3.677777,335,1202.777983
3.00358,425,1221.948629
7.495004,1001,1266.703195
4.158236,479,1289.931043
3.747571,558,1318.411671
6.611358,647,1354.633688
8.971632,957,1401.619579
3.797573,440,1422.981106
8.086915,666,1454.14847
3.624681,357,1470.181009
4.907384,611,1501.517508
3.407828,289,1517.200952
0.034732,20,1519.096526
4.273896,1001,1565.704087
2.122532,141,1572.508615
9.525077,730,1606.336715
3.526858,283,1621.019739
2.218286,445,1645.135118
1.554552,127,1651.84008
2.117461,279,1665.616475
6.402726,404,1685.147492
11.435339,888,1726.502604
3.314369,259,1739.265129
5.035069,813,1780.445824
6.394451,844,1831.665054
6.204393,429,1859.472358
3.583425,453,1884.911574
17.725252,1001,1944.365891
4.920023,702,1986.150706
1.765546,134,1993.857918
8.217897,564,2022.424053
5.403172,401,2049.285709
4.573919,270,2063.638848
2.981417,186,2072.881733
9.76961,651,2106.409348
4.304675,483,2128.974632
5.723951,360,2145.759541
7.584161,692,2176.194792
8.751143,729,2210.98684
1.876607,128,2216.92479
2.487037,168,2224.718016
11.171345,674,2256.773543
4.070889,220,2266.884439
12.234968,772,2301.947322
5.369326,599,2329.883972
5.085039,1001,2375.106372
0.096167,1,2375.642179
5.744623,1001,2420.962456
5.911862,358,2436.69002
3.026355,247,2448.588008
3.92343,200,2462.381684
2.025899,126,2469.897298
1.052407,106,2477.393246
-0.144673,1,2478.127156
2.172331,123,2484.992157
5.773662,378,2503.305446
3.041603,172,2512.374662
4.897411,257,2526.404823
7.065118,354,2546.572347
3.885765,171,2556.913302
4.697352,502,2583.502743
3.710039,153,2594.328278
3.028561,184,2603.989193
3.920324,209,2616.117862
4.333441,226,2628.471636
1.680938,93,2633.880334
3.553638,183,2644.419279
1.089526,138,2653.403096
8.091284,496,2677.654252
3.030825,152,2686.088886
9.752549,656,2713.635072
8.202935,1001,2758.121538
4.69668,1001,2803.350714
9.573099,424,2821.74774
4.554622,1001,2868.441793
3.290806,365,2885.423722
5.07588,207,2894.751372
7.174562,311,2908.691554
4.056252,198,2917.867966
3.979254,179,2925.623924
3.179142,173,2934.954003
5.476264,248,2945.42148
5.524184,207,2954.31076
6.886968,306,2969.431668
4.028827,335,2986.305476
4.095142,169,2993.673082
17.046555,909,3035.913053
7.192979,458,3057.504353
2.841512,142,3065.316161
3.760304,570,3093.245322
2.566662,142,3100.335918
5.140798,214,3110.615133
14.551719,686,3143.750577
2.099311,364,3160.561251
6.38794,392,3179.294747
0.928511,92,3183.310535
5.597169,242,3194.457798
2.325211,123,3200.544503
7.794637,362,3216.682503
8.057724,419,3235.997972
4.449483,202,3244.879731
9.907432,349,3261.177017
3.358972,158,3270.424921
1.876665,132,3276.772828
1.702373,250,3289.958784
2.515762,159,3298.463345
8.007449,496,3322.369771
2.272525,107,3327.45354
4.077431,161,3334.895651
6.69145,264,3347.433748
