#{"t_start": 1641254759.786234, "env_id": null}
r,l,t
4.204564,161,4803.321194
5.167246,187,4812.752113
6.889348,202,4823.375891
13.080961,391,4844.103648
5.249,185,4852.746614
3.434461,121,4858.390542
2.630709,133,4864.22334
2.498354,125,4870.646731
5.168918,218,4882.412051
5.081573,180,4891.446531
17.752027,451,4914.330197
2.7169,136,4921.177304
4.637758,160,4928.711089
10.477797,390,4948.968361
5.612387,191,4958.864168
3.109696,124,4966.134009
7.863023,315,4981.386624
1.730856,94,4987.46844
5.37675,188,4996.964702
11.941087,377,5014.378906
13.346114,413,5035.277191
4.626456,218,5046.364628
3.142723,138,5053.33593
8.994748,271,5067.133574
7.830849,219,5078.070984
3.44231,155,5088.013064
2.457298,111,5093.160803
0.103911,1,5093.758039
0.100573,1,5094.365563
17.817981,811,5133.180034
3.850834,131,5140.717163
2.77375,124,5146.261138
3.752933,144,5153.400305
6.254589,197,5163.234608
5.197423,212,5172.851773
6.634746,218,5184.417216
6.751763,215,5195.813114
3.223016,128,5202.915722
5.311911,178,5211.279431
4.065108,159,5218.782197
3.608398,147,5227.102568
2.937499,118,5233.744597
2.798732,125,5240.384738
3.189423,132,5248.594178
3.036448,136,5256.637114
1.841304,103,5261.385797
3.632945,125,5268.190493
8.653903,251,5280.719368
6.791061,211,5291.59214
5.629372,181,5303.037153
3.982411,143,5310.328636
4.24256,155,5319.471377
1.832502,93,5324.528144
4.018567,154,5333.39062
7.349857,494,5358.100823
4.87055,154,5366.086686
2.792575,101,5370.618636
5.128193,155,5378.987087
5.719215,177,5388.277915
7.039592,213,5398.122826
9.280591,248,5412.353912
2.421774,91,5417.59709
9.226031,294,5431.541113
8.833761,271,5444.374422
2.511514,105,5449.736169
2.181102,97,5454.690143
5.999817,186,5466.179196
4.905764,164,5475.062881
2.691529,107,5480.402604
8.648522,765,5520.003343
2.372743,107,5526.008425
6.89882,244,5538.052711
5.791139,172,5546.937864
0.093889,1,5547.653101
1.176571,164,5555.899848
4.947932,204,5567.937583
9.684481,339,5585.731139
4.898892,152,5594.446625
5.971486,180,5603.987734
3.503038,162,5611.655047
18.870593,489,5636.839937
1.632996,87,5640.751336
6.693479,364,5658.41831
16.550855,455,5681.949329
5.258761,191,5691.048277
11.838045,371,5707.735797
15.28933,397,5726.730388
4.759925,160,5734.228204
1.415609,81,5738.554
1.484827,169,5747.36466
2.224938,99,5752.568693
12.20295,311,5767.757695
3.545166,127,5775.172683
6.511056,186,5784.978837
6.067523,186,5794.315251
6.785054,212,5805.604999
18.70886,436,5826.021429
0.099437,1,5826.587564
2.44155,110,5832.248159
6.367358,175,5840.066895
4.788697,164,5847.990467
8.894233,247,5860.922611
5.355592,160,5869.036685
15.006911,382,5888.881115
2.134318,102,5894.619604
3.52241,155,5902.847741
26.763738,703,5938.77543
4.103021,127,5944.480856
4.903265,159,5952.095401
14.19471,712,5988.317908
6.390959,453,6012.140605
2.278508,129,6018.613619
1.814083,84,6024.190879
3.91512,150,6032.482217
8.071138,248,6046.769758
5.960945,177,6054.87566
4.41414,145,6063.500078
14.774916,356,6080.478165
6.496195,237,6093.50009
2.969609,133,6100.259545
7.067101,182,6110.159934
9.546306,238,6122.614137
1.781439,99,6128.142381
1.438698,69,6132.374238
11.810494,304,6148.169276
4.167797,154,6155.848652
3.077449,117,6161.539166
8.290501,232,6174.173867
2.118667,125,6180.333752
