#{"t_start": 1641507720.5760791, "env_id": null}
r,l,t
2.057783,1001,14.360423
0.297053,156,16.330645
-0.336875,1,16.834023
2.46925,1001,28.108209
2.59646,1001,39.501391
1.543334,1001,52.032648
1.986579,1001,62.06718
1.452301,1001,71.91339
2.269814,884,80.543063
2.726673,1001,90.31188
1.823029,1001,99.860772
1.869595,1001,110.172762
1.023519,1001,132.032245
1.10687,855,151.68294
-0.120519,63,153.560665
-0.103381,372,162.615552
-0.084767,19,163.504035
-0.029196,18,164.372856
0.025311,19,165.267682
-0.015463,17,166.203777
-0.051118,17,167.09029
-0.169995,96,169.67229
0.060924,22,170.630953
-0.042171,16,171.444383
-0.058073,23,172.437257
-0.050753,118,175.497368
-0.04392,18,176.36619
-0.047595,16,177.183524
-0.096409,20,178.091025
-0.095148,18,179.010445
-0.0673,21,180.008088
0.110326,90,182.444776
-0.020095,141,186.592572
-0.178809,67,188.594597
-0.126384,18,189.482238
-0.061278,25,190.641435
-0.027236,17,191.563402
-0.057278,159,195.480273
-0.017253,137,199.036534
-0.339035,151,203.030416
-0.138564,41,204.487667
-0.410814,112,207.458481
-0.338041,54,209.156132
-0.06487,90,212.138744
0.113631,42,213.754167
-0.050798,129,218.145692
-0.02162,23,219.22673
-0.19998,42,221.13754
-0.138765,37,222.627629
0.031498,80,224.971542
-0.119543,108,227.802299
-0.425736,108,230.656029
-0.87377,189,235.363765
-1.312556,439,246.118529
-0.165725,108,248.874164
-2.945242,576,263.853056
-0.861742,216,270.374483
-1.868381,253,277.906203
-2.220345,447,288.74834
-0.652285,294,296.154242
-2.616919,422,306.675435
-0.239866,135,310.350425
-0.094654,94,313.016446
-0.161847,74,315.178487
-2.419744,1001,339.516529
-0.432675,166,344.648131
-5.549918,1001,368.799341
-3.091577,1001,394.006043
-2.482374,1001,418.60322
-5.467041,917,441.331436
-0.854265,119,444.562635
-0.335064,101,447.518578
-0.927331,113,450.717699
-0.801193,88,453.455197
-0.459579,61,455.472283
-1.695718,261,463.337125
-6.349404,773,482.589366
-4.122601,930,506.691208
-5.25574,1001,531.044531
-1.348163,185,536.300173
-1.021243,274,543.404386
-0.199853,18,544.438257
-0.524487,112,548.026723
-0.963407,94,551.057843
-6.880623,1001,575.606806
-4.428897,932,598.843945
-0.537523,314,607.002247
0.244568,371,616.346042
-0.4082,52,618.080144
-0.384556,108,621.063571
-0.486816,96,623.831442
-0.948628,116,627.416584
-0.536024,74,629.708202
-0.156224,78,632.264998
-3.963052,1001,657.089477
-0.963987,355,666.150769
-2.003588,554,680.244381
-1.41847,598,695.290485
-0.300639,36,696.743697
-2.315125,629,715.756665
-0.355099,34,717.121466
-2.271551,818,738.358121
-1.847963,477,751.19062
-1.401959,649,769.379462
-0.193389,18,770.411505
-1.430458,227,776.4975
-0.198031,20,777.518888
-0.077727,19,778.539191
-0.177426,17,779.48109
-0.085249,20,780.508368
-0.535528,130,784.211426
-0.32703,52,785.986535
-0.209827,65,788.091862
-1.162995,211,793.608551
-1.607273,392,805.294128
0.427415,501,819.740522
0.24533,547,838.366737
-3.100924,619,856.36414
-3.064352,589,875.113677
-3.433178,556,891.58015
-6.743745,779,916.007401
-0.96523,151,920.738715
-0.657795,123,924.816104
-0.652861,141,928.984461
-8.563084,1001,958.050783
-5.216379,654,974.827641
-2.760472,391,985.152839
-0.878607,194,991.063359
-2.26526,315,999.993623
-0.688639,235,1006.788105
-1.637807,251,1014.399975
-1.415905,230,1020.992914
-1.801367,278,1028.758259
-1.103717,129,1032.900217
-1.215203,149,1037.052881
-1.249538,217,1042.924162
-2.317527,292,1050.462109
-1.000089,239,1056.922428
-0.699045,213,1062.999204
-0.070848,61,1065.014737
-0.182462,70,1067.211258
-1.929698,318,1075.262942
-1.935609,403,1085.948692
-0.190934,142,1089.893036
-1.077128,312,1097.899358
1.461247,775,1120.395734
0.762645,228,1127.761562
-1.103742,376,1137.845447
0.576715,181,1143.790145
-0.684671,693,1162.059585
0.985718,294,1170.102379
0.850399,231,1176.156316
0.688719,415,1187.20489
0.460373,165,1191.72503
-0.112979,18,1192.747742
-1.982567,1001,1218.927479
-0.311834,518,1231.978544
0.253693,179,1237.282782
-0.406905,1001,1263.766259
-3.843352,903,1286.645416
-3.811944,1001,1313.977464
-1.129644,1001,1341.960266
-1.521671,685,1360.026134
-3.820853,1001,1384.513754
-2.569931,1001,1410.718323
-0.873302,263,1417.895272
-0.171457,150,1421.943349
-3.275195,964,1448.935116
-0.840613,190,1454.355114
-2.826683,599,1470.388566
-0.17316,65,1472.51217
-3.644226,792,1495.699015
-0.260263,68,1498.685897
-0.84477,220,1506.628083
-2.915149,467,1521.724583
-2.238543,334,1532.447583
-3.945673,783,1556.783812
-1.316465,207,1563.611456
-1.117747,179,1569.956452
-8.638399,1001,1600.61174
-11.183991,1001,1631.921235
-7.20004,1001,1664.999432
-5.220869,1001,1696.908647
-4.991003,1001,1727.423692
-0.43927,49,1729.535737
-0.602654,146,1734.722094
-1.837786,446,1749.165519
-1.034497,296,1758.97118
0.032067,111,1762.902179
-0.142201,86,1766.011667
-0.380581,290,1775.248749
-0.561996,157,1780.506945
-0.28894,512,1799.219523
-1.962273,1001,1831.861771
-0.615124,1001,1862.937952
-0.52531,270,1872.568424
0.215238,205,1879.684342
-1.901889,547,1896.977394
-2.051791,830,1923.163397
-1.893992,965,1953.083461
-0.17237,218,1960.088649
0.61611,229,1967.618765
0.39332,457,1982.106326
0.183015,755,2005.177122
-0.214132,70,2008.154998
-0.812948,1001,2038.940266
0.496578,132,2043.433982
2.53884,1001,2074.033414
0.539128,93,2077.546617
1.155651,151,2082.604722
0.491149,228,2090.23498
1.036006,149,2095.432155
1.634371,353,2106.552809
1.472343,278,2115.466034
2.784708,779,2139.616992
0.908802,214,2146.922318
0.824262,636,2166.413214
2.312336,1001,2196.931664
1.132624,1001,2229.156019
3.122608,1001,2261.587939
-0.156513,990,2294.155457
-1.954023,1001,2327.553183
-0.47744,208,2335.429041
-1.334557,331,2347.180309
0.024193,224,2355.169408
-2.435036,1001,2388.653961
-0.64292,695,2411.657897
-3.781596,1001,2445.529588
-1.002498,1001,2489.716925
-1.982422,917,2524.261176
-0.14067,430,2538.390448
0.298302,218,2546.449422
0.359508,148,2551.976438
-0.116521,448,2567.09122
-0.182895,260,2576.135838
0.710272,470,2590.987859
0.093261,343,2602.160959
0.31801,260,2610.452566
0.275333,221,2617.837298
0.97537,307,2628.006186
0.512869,319,2638.238739
0.074621,1,2638.960431
0.820195,280,2647.996574
0.595985,213,2655.288269
0.893055,283,2664.485625
0.2987,228,2672.109026
-0.202429,414,2685.589187
0.329645,342,2696.556532
-1.105332,563,2714.149796
-0.206946,204,2720.906173
-0.25492,16,2722.25006
-0.286739,267,2731.098708
0.031418,1001,2761.892278
-2.207577,1001,2794.843063
0.256406,1001,2826.713989
-0.852654,438,2841.994823
0.339092,683,2864.09428
-0.169542,60,2866.772905
0.012332,82,2869.93295
-0.159229,122,2874.227345
-0.065724,20,2875.476597
-0.176468,78,2878.58005
-0.099253,126,2883.130893
0.095988,81,2886.253552
-0.493713,111,2890.122906
-0.113778,158,2895.747923
-0.091083,53,2897.990274
-0.086575,25,2899.408547
-0.008452,23,2900.678081
-0.102023,124,2905.043594
-0.141147,198,2911.618226
-0.188954,90,2914.953416
-0.465049,395,2927.767503
-0.128957,40,2929.597378
-0.149515,44,2931.493202
-0.01713,42,2933.428026
-0.286047,65,2936.01395
-1.043677,478,2951.208302
-0.047886,69,2954.004761
-0.09829,112,2958.034165
-0.246164,418,2971.361389
-0.195221,268,2980.161853
-0.040076,207,2987.07522
1.008315,575,3005.300307
2.64018,557,3023.012813
4.028267,1001,3054.382028
2.270237,877,3083.914937
1.496133,521,3102.756865
1.71287,633,3123.881188
1.998606,886,3152.031799
1.007826,491,3169.46006
0.617019,720,3196.96382
2.690176,1001,3228.704622
2.449314,737,3249.569676
0.696925,178,3255.220404
-0.417289,550,3272.562795
0.248629,326,3283.446226
0.806849,386,3294.316306
0.982176,232,3301.354532
0.432502,67,3304.37846
0.190359,72,3307.368322
0.064948,81,3310.952701
0.075523,42,3312.820262
-0.034681,19,3314.053727
0.889581,219,3320.708833
0.633418,347,3331.051319
0.350397,79,3334.029527
0.506533,83,3336.927195
0.502854,311,3346.032162
0.816447,92,3349.120026
3.315249,658,3367.712522
1.090434,185,3373.689383
0.225078,53,3375.632914
0.433882,67,3378.159815
0.405179,63,3380.439103
0.98338,205,3386.676712
0.016718,20,3387.933905
1.297108,402,3399.495541
0.325373,73,3402.337527
0.416145,82,3405.228689
0.806308,126,3409.200625
1.27674,310,3418.297536
0.843209,145,3422.728336
0.488733,75,3425.435619
0.014904,17,3426.507092
-0.018861,18,3427.635538
2.291303,599,3445.425048
0.460857,173,3451.021096
2.759242,644,3471.692588
0.987485,121,3475.922373
1.192304,251,3483.593101
4.420109,1001,3512.237485
2.152648,494,3526.53292
2.383194,331,3536.231075
4.69212,662,3555.384474
1.44673,165,3560.988756
5.009321,659,3580.224461
7.221634,1001,3608.565336
2.645897,326,3618.369792
0.718185,72,3621.127064
1.298213,106,3624.590444
0.833991,95,3627.790729
2.194241,222,3634.491252
2.397807,291,3643.181934
0.949863,102,3646.627355
1.18852,122,3650.465686
0.728274,73,3653.061588
4.611018,507,3667.8366
0.796931,72,3670.403346
7.766857,1001,3698.994726
0.175883,96,3702.379975
3.222142,374,3714.951249
1.082022,121,3719.316775
3.407038,302,3729.649642
7.057058,1001,3758.771094
0.50103,58,3761.512707
6.86187,814,3786.532307
7.213264,1001,3821.192945
1.267476,118,3825.523913
5.359596,674,3846.864456
0.073161,1,3847.509202
7.913894,1001,3876.999077
1.070925,143,3881.864859
0.726021,115,3885.781652
0.832005,100,3889.582093
0.568567,73,3892.380685
0.823907,111,3896.477638
8.505976,1001,3928.859893
8.465039,1001,3958.869648
9.007654,1001,3988.349558
0.422686,52,3990.398648
9.484106,1001,4022.810902
6.195122,688,4041.154658
0.558167,57,4043.46359
8.786701,1001,4068.594523
5.979114,607,4085.057299
7.011345,755,4105.074067
9.346309,1001,4128.414963
3.24721,412,4138.259135
3.037039,394,4147.934758
0.689827,77,4150.374264
5.553895,660,4166.071016
9.637908,1001,4189.474577
9.07903,1001,4212.43865
9.021175,1001,4235.658521
10.954687,1001,4259.004507
13.79193,1001,4282.499319
4.492517,355,4291.592309
12.77508,1001,4314.41495
10.98861,1001,4337.783547
8.840623,1001,4361.430882
11.785374,1001,4384.401525
7.323844,575,4398.205486
6.630074,614,4412.504413
8.064586,762,4430.267574
4.297157,368,4439.063118
3.658106,361,4447.969369
2.09575,138,4451.606963
10.155678,1001,4474.995488
2.163982,169,4479.600043
3.729941,316,4487.081851
2.37274,185,4491.565824
4.728736,494,4503.440596
9.592112,1001,4527.502429
10.670281,1001,4551.042238
11.466643,1001,4573.634016
10.587201,1001,4596.825408
8.966359,790,4614.924042
4.062644,382,4624.11836
1.027884,85,4626.531263
3.42734,320,4634.630739
11.643429,1001,4658.926943
6.197484,517,4671.148713
10.780815,1001,4695.301453
6.970266,667,4710.723258
13.696755,1001,4733.543406
5.050985,403,4742.922189
5.876162,554,4756.622937
4.073335,288,4763.624173
0.08463,1,4764.135391
10.656876,1001,4787.618211
6.935582,620,4801.713973
5.387988,534,4814.332644
3.486687,265,4820.691697
2.124573,146,4824.358695
9.414714,971,4847.056803
10.076912,1001,4869.980442
6.850166,570,4882.880783
8.309706,1001,4906.196375
11.185379,1001,4928.931741
1.02403,118,4932.084315
2.959026,184,4936.693977
3.808194,249,4942.765997
7.933995,781,4961.24664
7.706746,1001,4984.578013
2.757238,189,4989.301457
2.824404,159,4993.310705
8.213128,1001,5016.039149
4.413488,330,5024.117007
10.380964,1001,5047.412464
8.405612,1001,5070.565493
11.931149,1001,5094.039284
7.815657,885,5115.070639
9.383533,1001,5137.992752
3.529435,226,5143.881943
2.440414,219,5149.180998
11.773929,1001,5172.388857
10.04282,1001,5195.119356
5.895229,536,5207.944525
10.780204,1001,5230.813735
8.621969,1001,5254.008982
9.244559,1001,5277.13134
12.36961,788,5295.411042
7.095475,1001,5318.212777
18.596052,1001,5340.913934
6.756425,1001,5365.035174
12.71362,1001,5388.031533
9.382321,646,5402.982171
8.724203,875,5422.905433
8.866806,1001,5445.717162
22.104425,1001,5468.481821
12.155521,1001,5491.15938
5.394828,1001,5514.353801
8.482804,1001,5537.48224
10.975834,1001,5561.02345
2.47919,164,5565.148833
6.743077,406,5574.74197
10.096645,1001,5597.45945
3.663807,196,5602.154883
4.314559,192,5606.937965
4.921385,253,5613.344094
3.929283,222,5619.080641
5.737189,1001,5642.470338
18.127215,1001,5664.61518
10.588968,1001,5687.136421
6.908687,1001,5710.544564
6.239578,1001,5734.062832
15.416651,1001,5757.089245
2.346564,114,5760.368194
21.493301,1001,5783.371316
2.494984,246,5789.773978
8.308155,1001,5815.227064
2.466012,142,5819.651046
10.368675,1001,5844.649718
3.320451,180,5849.76825
7.814247,1001,5874.05528
12.47862,1001,5904.885947
21.285337,1001,5931.005929
6.999729,679,5951.179527
7.441987,1001,5979.292177
2.351622,120,5982.753099
14.466349,1001,6007.593639
8.181045,1001,6034.54416
12.189613,754,6054.12452
10.225653,1001,6077.973471
10.060496,1001,6101.429152
9.315961,525,6113.734808
8.748997,1001,6137.338425
7.001105,1001,6160.937902
7.741964,1001,6186.534626
8.236135,1001,6220.786047
9.046548,1001,6247.97664
16.062713,1001,6284.705678
5.140069,760,6310.276954
8.569771,1001,6341.500064
7.913068,1001,6367.460835
12.534855,608,6383.622407
12.521355,1001,6411.22335
12.864852,1001,6437.838214
16.241681,1001,6462.83639
9.14985,1001,6489.012666
12.755644,1001,6514.419668
8.784155,1001,6538.60622
7.42175,1001,6564.567883
15.257025,1001,6589.216187
4.658324,1001,6612.791169
7.396324,1001,6639.859321
8.047669,1001,6667.201234
10.75465,1001,6696.052193
7.740515,1001,6724.648319
11.073093,1001,6753.925944
16.336196,939,6778.471586
11.582032,896,6800.266743
9.160487,594,6816.35894
9.608192,623,6832.389828
7.700145,1001,6858.861265
9.769344,1001,6884.273039
6.578856,1001,6911.510003
9.334179,1001,6939.592443
6.689197,304,6947.601441
8.29429,658,6969.514224
8.315443,1001,6997.284519
12.973473,1001,7030.05781
10.807804,1001,7061.842546
5.249968,320,7071.146714
8.152578,1001,7105.890508
7.881629,1001,7141.499418
3.857851,330,7153.390917
8.013043,1001,7188.367476
8.417871,1001,7228.408232
16.05795,1001,7258.325571
12.275052,1001,7288.772647
7.584945,1001,7324.660089
10.204149,1001,7352.576755
5.826937,1001,7384.23404
7.683195,1001,7416.505179
7.350959,1001,7450.093071
10.62119,1001,7484.220087
8.316298,1001,7511.957261
9.787116,972,7535.075072
7.046943,697,7551.936437
12.731863,1001,7577.126984
7.81527,842,7597.204909
14.579297,1001,7621.013883
8.21131,1001,7646.426149
9.572865,1001,7670.490962
11.968965,1001,7694.156419
3.963003,464,7704.934926
10.621264,1001,7730.176187
7.899756,1001,7758.503785
13.672703,1001,7794.32189
11.33924,1001,7829.472987
14.899548,1001,7864.684354
1.388937,113,7869.488322
21.976015,1001,7904.548466
10.65849,1001,7936.229472
7.167198,1001,7967.875798
6.196834,1001,8004.142589
5.173648,1001,8043.811208
7.343655,1001,8079.271299
11.759041,1001,8122.500947
14.691555,1001,8159.985596
14.503925,1001,8191.012659
7.27788,1001,8218.985867
7.939768,474,8234.92752
11.038833,1001,8261.734929
10.514108,1001,8289.573135
15.745518,1001,8316.978779
14.129598,1001,8341.737524
7.440711,1001,8366.832435
5.545109,482,8379.534544
11.468415,1001,8405.035082
15.333221,1001,8428.822731
7.071903,1001,8457.425256
7.420543,792,8479.244334
15.769553,1001,8505.187046
13.322914,1001,8533.718422
8.85246,1001,8558.116125
5.097411,1001,8581.642518
7.384307,1001,8605.423743
16.641634,1001,8629.325498
13.867491,1001,8652.870401
4.389593,405,8663.242722
7.885128,616,8678.646359
11.32083,1001,8703.962085
15.702378,1001,8732.197305
7.038331,1001,8759.478528
8.22519,1001,8786.670233
6.541591,569,8801.530073
13.092842,1001,8828.391142
5.921704,1001,8853.658288
12.98919,1001,8879.590239
5.921322,431,8893.752732
10.610459,1001,8917.927479
9.285305,1001,8942.320864
3.940065,406,8954.571196
14.617614,1001,8982.995368
3.135917,240,8990.486274
